xLat,xLong,terrainHeight
39.85471,-113.5855,1301.463
39.85477,-113.5735,1300.46
39.85483,-113.5614,1301.311
39.8549,-113.5493,1304.761
39.85496,-113.5372,1308.744
39.85502,-113.5252,1310.452
39.85508,-113.5131,1311.189
39.85514,-113.501,1313.652
39.85519,-113.489,1318.232
39.85526,-113.4769,1342.794
39.85531,-113.4648,1430.677
39.85536,-113.4527,1563.615
39.85541,-113.4406,1623.552
39.85546,-113.4286,1546.728
39.85552,-113.4165,1412.896
39.85556,-113.4044,1329.303
39.85561,-113.3924,1310.771
39.85565,-113.3803,1310.952
39.85569,-113.3682,1308.745
39.85574,-113.3561,1306.579
39.85578,-113.3441,1303.991
39.85581,-113.332,1302.861
39.85585,-113.3199,1303.286
39.85588,-113.3079,1316.448
39.85592,-113.2958,1356.299
39.85596,-113.2837,1416.634
39.856,-113.2716,1474.553
39.85603,-113.2596,1512.326
39.85605,-113.2475,1530.149
39.85608,-113.2354,1492.207
39.85611,-113.2233,1419.475
39.85614,-113.2113,1397.509
39.85616,-113.1992,1412.303
39.85617,-113.1871,1437.624
39.85619,-113.175,1474.122
39.85622,-113.163,1509.838
39.85624,-113.1509,1549.796
39.85625,-113.1388,1592.429
39.85627,-113.1268,1606.471
39.85628,-113.1147,1580.083
39.8563,-113.1026,1583.488
39.8563,-113.0905,1621.944
39.85631,-113.0785,1606.472
39.85632,-113.0664,1530.497
39.85633,-113.0543,1466.768
39.85634,-113.0422,1442.816
39.85634,-113.0302,1434.932
39.85634,-113.0181,1431.693
39.85634,-113.006,1438.884
39.85634,-112.994,1455.6
39.85634,-112.9819,1465.992
39.86397,-113.5856,1300.567
39.86404,-113.5735,1297.942
39.8641,-113.5615,1297.359
39.86416,-113.5494,1299.571
39.86422,-113.5373,1301.475
39.86429,-113.5252,1303.278
39.86435,-113.5132,1306.127
39.86441,-113.5011,1309.422
39.86447,-113.489,1311.401
39.86452,-113.4769,1319.755
39.86458,-113.4649,1401.736
39.86463,-113.4528,1551.084
39.86468,-113.4407,1643.998
39.86473,-113.4286,1606.949
39.86478,-113.4166,1456.633
39.86483,-113.4045,1331.723
39.86488,-113.3924,1306.544
39.86492,-113.3803,1309.569
39.86496,-113.3683,1307.291
39.86501,-113.3562,1305.214
39.86504,-113.3441,1303.361
39.86509,-113.332,1302.533
39.86512,-113.32,1303.201
39.86517,-113.3079,1306.635
39.8652,-113.2958,1324.166
39.86523,-113.2838,1378.711
39.86526,-113.2717,1448.019
39.86529,-113.2596,1463.545
39.86532,-113.2475,1432.43
39.86535,-113.2354,1402.138
39.86538,-113.2234,1383.584
39.8654,-113.2113,1385.602
39.86543,-113.1992,1398.979
39.86544,-113.1871,1413.783
39.86546,-113.1751,1438.581
39.86549,-113.163,1470.776
39.8655,-113.1509,1500.697
39.86552,-113.1389,1529.962
39.86554,-113.1268,1543.414
39.86555,-113.1147,1545.99
39.86556,-113.1026,1588.712
39.86558,-113.0905,1657.507
39.86558,-113.0785,1659.3
39.86559,-113.0664,1560.323
39.8656,-113.0543,1459.564
39.8656,-113.0423,1426.485
39.8656,-113.0302,1423.26
39.86561,-113.0181,1420.771
39.86561,-113.006,1425.027
39.86561,-112.994,1437.327
39.86561,-112.9819,1442.888
39.87323,-113.5857,1299.676
39.8733,-113.5736,1297.265
39.87337,-113.5616,1295.401
39.87343,-113.5495,1294.868
39.87349,-113.5374,1295.313
39.87356,-113.5253,1297.785
39.87361,-113.5132,1302.196
39.87368,-113.5012,1306.583
39.87374,-113.4891,1307.509
39.87379,-113.477,1303.872
39.87384,-113.4649,1357.719
39.8739,-113.4529,1496.035
39.87395,-113.4408,1625.116
39.874,-113.4287,1627.333
39.87405,-113.4166,1473.593
39.8741,-113.4046,1331.176
39.87414,-113.3925,1302.587
39.87418,-113.3804,1307.238
39.87423,-113.3683,1306.113
39.87428,-113.3563,1305.274
39.87431,-113.3442,1303.506
39.87434,-113.3321,1301.4
39.87439,-113.32,1302.386
39.87443,-113.308,1304.716
39.87446,-113.2959,1307.749
39.87449,-113.2838,1327.692
39.87453,-113.2717,1363.775
39.87456,-113.2596,1381.422
39.87459,-113.2476,1374.342
39.87462,-113.2355,1366.657
39.87464,-113.2234,1367.088
39.87466,-113.2113,1375.079
39.87469,-113.1992,1388.086
39.87472,-113.1872,1404.41
39.87473,-113.1751,1427.385
39.87476,-113.163,1452.744
39.87477,-113.1509,1472.456
39.87479,-113.1389,1487.812
39.87481,-113.1268,1501.579
39.87482,-113.1147,1530.28
39.87484,-113.1026,1608.518
39.87484,-113.0906,1691.532
39.87485,-113.0785,1673.841
39.87485,-113.0664,1563.634
39.87487,-113.0543,1464.271
39.87487,-113.0423,1422.773
39.87488,-113.0302,1413.281
39.87488,-113.0181,1409.916
39.87489,-113.006,1412.621
39.87489,-112.994,1421.789
39.87488,-112.9819,1426.238
39.88251,-113.5858,1297.504
39.88258,-113.5737,1296.848
39.88264,-113.5616,1295.3
39.88271,-113.5496,1293.712
39.88276,-113.5375,1293.98
39.88283,-113.5254,1296.557
39.88288,-113.5133,1300.804
39.88295,-113.5013,1304.518
39.88301,-113.4892,1305.649
39.88306,-113.4771,1301.849
39.88311,-113.465,1318.685
39.88317,-113.4529,1399.795
39.88322,-113.4409,1504.001
39.88327,-113.4288,1515.47
39.88332,-113.4167,1416.129
39.88337,-113.4046,1324.455
39.88341,-113.3925,1302.875
39.88346,-113.3805,1305.502
39.8835,-113.3684,1305.95
39.88354,-113.3563,1305.684
39.88359,-113.3442,1302.772
39.88362,-113.3322,1299.782
39.88366,-113.3201,1299.197
39.88369,-113.308,1302.574
39.88373,-113.2959,1304.511
39.88376,-113.2838,1303.995
39.88379,-113.2718,1312.996
39.88382,-113.2597,1328.926
39.88385,-113.2476,1339.256
39.88388,-113.2355,1345.852
39.88391,-113.2234,1354.168
39.88393,-113.2114,1364.87
39.88396,-113.1993,1379.295
39.88398,-113.1872,1397.434
39.884,-113.1751,1417.575
39.88403,-113.1631,1436.705
39.88404,-113.151,1456.692
39.88406,-113.1389,1479.578
39.88408,-113.1268,1503.318
39.88409,-113.1147,1536.392
39.88411,-113.1027,1616.852
39.88411,-113.0906,1707.609
39.88412,-113.0785,1689.611
39.88412,-113.0664,1576.205
39.88414,-113.0544,1473.244
39.88414,-113.0423,1421.409
39.88414,-113.0302,1404.867
39.88414,-113.0181,1400.516
39.88415,-113.006,1401.625
39.88415,-112.994,1406.877
39.88414,-112.9819,1410.306
39.89177,-113.5859,1297.089
39.89184,-113.5738,1296.301
39.89191,-113.5617,1295.169
39.89198,-113.5496,1294.795
39.89204,-113.5376,1296.04
39.8921,-113.5255,1297.671
39.89215,-113.5134,1299.566
39.89221,-113.5013,1301.565
39.89227,-113.4892,1303.297
39.89233,-113.4772,1303.422
39.89238,-113.4651,1305.409
39.89243,-113.453,1334.344
39.89249,-113.4409,1374.001
39.89253,-113.4288,1370.642
39.89259,-113.4167,1339.651
39.89263,-113.4047,1316.968
39.89268,-113.3926,1307.096
39.89272,-113.3805,1305.453
39.89277,-113.3684,1305.729
39.89281,-113.3564,1304.143
39.89284,-113.3443,1300.387
39.89288,-113.3322,1297.936
39.89292,-113.3201,1296.945
