LineNo,TimeUS,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,U
1799,2582679568,4,465947000,1949,9,1.01,47.4985604,19.1990311,145.07,0.1360147,287.1027,-0.05,1
1861,2582879403,4,465947200,1949,9,1.01,47.4985604,19.1990307,145.06,0.1360147,287.1027,0.01,1
1921,2583079386,4,465947400,1949,9,1.01,47.4985604,19.1990306,145.06,0.04242641,135,0,1
1982,2583279452,4,465947600,1949,9,1.01,47.4985605,19.1990307,145.04,0.1208305,24.44395,0.05,1
2044,2583479356,4,465947800,1949,9,1.01,47.4985605,19.1990308,145.02,0.1104536,174.8056,0.03,1
2104,2583679562,4,465948000,1949,9,1.01,47.4985604,19.1990308,145.01,0.02236068,243.435,0.07,1
2164,2583879447,4,465948200,1949,9,1.01,47.4985604,19.1990308,144.99,0.02236068,296.5651,0.02,1
2226,2584079343,4,465948400,1949,9,1.01,47.4985605,19.1990307,144.99,0.06324555,341.5651,-0.07,1
2287,2584279577,4,465948600,1949,9,1.01,47.4985606,19.1990307,144.97,0.1910497,353.991,0.09,1
2349,2584479347,4,465948800,1949,9,1.01,47.4985608,19.1990306,144.96,0.07211103,326.3099,0.11,1
2410,2584679408,4,465949000,1949,9,1.01,47.4985608,19.1990306,145,0.1063015,138.8141,-0.06,1
2470,2584879546,4,465949200,1949,9,1.01,9999,19.1990306,144.99,0.05099019,281.3099,0.05,1
2532,2585079441,4,465949400,1949,9,1.01,47.4985606,19.1990306,145,0.08,0,-0.06,1
2592,2585279386,4,465949600,1949,9,1.01,47.4985607,19.1990306,145.04,0.1004988,354.2894,-0.15,1
2654,2585479410,4,465949800,1949,9,1.01,47.4985607,19.1990308,145.03,0.08,90,-0.04,1
2714,2585679429,4,465950000,1949,9,1.01,47.4985606,19.199031,145.01,0.07810249,129.8056,0.03,1
2774,2585879347,4,465950200,1949,9,1.01,47.4985605,19.1990311,144.99,0.04123105,14.03624,0.08,1
2834,2586079519,4,465950400,1949,9,1.01,47.4985606,19.199031,145.02,0.1104536,275.1944,0,1
2896,2586279453,4,465950600,1949,9,1.01,47.4985605,19.199031,145.02,0.04123105,194.0363,0.04,1
2959,2586479379,4,465950800,1949,9,1.01,47.4985605,19.199031,145.06,0.02236068,26.56505,0.01,1
3019,2586679499,4,465951000,1949,9,1.01,47.4985604,19.1990311,145.05,0.1360147,162.8973,0.17,1
